ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6340549,HP427272,7/1/2008 15:18,044XX N CLIFTON AVE,2027,NARCOTICS,POSS: CRACK,ALLEY,TRUE,FALSE,2311,19,46,3,18,1167852,1929601,2008,2/4/2016 6:33,41.96237071,-87.65826022,"(41.962370707, -87.65826022)"
6340550,HP427267,7/1/2008 15:39,073XX N WESTERN AVE,560,ASSAULT,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,2411,24,50,2,08A,1159015,1948528,2008,2/4/2016 6:33,42.01449362,-87.69022779,"(42.014493615, -87.690227788)"
6340551,HP428376,7/2/2008 3:08,006XX N LEAMINGTON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,TRUE,TRUE,1532,15,28,25,08B,1141915,1903723,2008,2/4/2016 6:33,41.89187995,-87.75426358,"(41.891879948, -87.754263576)"
6340552,HP428187,7/2/2008 0:18,059XX S MORGAN ST,460,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,712,7,16,68,08B,1170659,1865532,2008,2/4/2016 6:33,41.78649959,-87.64981588,"(41.786499587, -87.649815884)"
6340555,HP425921,6/30/2008 20:00,026XX W LITHUANIAN PLAZA CT,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,TAVERN/LIQUOR STORE,TRUE,FALSE,831,8,15,66,22,1160148,1858801,2008,2/4/2016 6:33,41.76825161,-87.68853984,"(41.76825161, -87.688539843)"
6340556,HP426193,7/1/2008 0:02,0000X W WACKER DR,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,FALSE,FALSE,122,1,42,32,26,1176210,1902134,2008,2/4/2016 6:33,41.88681546,-87.62836172,"(41.886815464, -87.628361716)"
6340557,HP427908,7/1/2008 20:15,125XX S BURLEY AVE,460,BATTERY,SIMPLE,FACTORY/MANUFACTURING BUILDING,TRUE,FALSE,433,4,10,55,08B,1199811,1822463,2008,2/4/2016 6:33,41.66762922,-87.54437888,"(41.667629215, -87.54437888)"
6340558,HP418724,6/27/2008 7:10,100XX W OHARE ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT/AIRCRAFT,FALSE,FALSE,1651,16,41,76,26,1100658,1934241,2008,2/4/2016 6:33,41.97629041,-87.90522722,"(41.976290414, -87.905227221)"
6340560,HP427307,7/1/2008 15:05,055XX S HALSTED ST,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,ALLEY,FALSE,FALSE,711,7,3,68,3,1171915,1868079,2008,2/4/2016 6:33,41.79346135,-87.645136,"(41.793461345, -87.645135997)"
6340561,HP424250,6/30/2008 2:07,0000X W 115TH ST,320,ROBBERY,STRONGARM - NO WEAPON,OTHER RAILROAD PROP / TRAIN DEPOT,FALSE,FALSE,522,5,34,53,3,1177861,1828712,2008,2/4/2016 6:33,41.68530079,-87.62452162,"(41.685300786, -87.624521616)"
6340562,HP427786,7/1/2008 20:13,016XX W FARWELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,2431,24,49,1,26,1164145,1945688,2008,2/4/2016 6:33,42.00659329,-87.67143226,"(42.006593288, -87.671432258)"
6340564,HP428792,7/2/2008 10:50,068XX S ROCKWELL ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,831,8,15,66,26,1160221,1859159,2008,2/4/2016 6:33,41.76923251,-87.68826242,"(41.769232512, -87.68826242)"
